created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2024-05-13T14:45:12+00:00,1,32,61,0,1,-8,,,,,
2024-05-13T14:45:28+00:00,2,33,60,176,1,-8,,,,,
2024-05-13T14:50:07+00:00,3,33,60,43,8,5,,,,,
2024-05-13T14:50:22+00:00,4,33,60,31,8,5,,,,,
2024-05-13T14:56:19+00:00,5,32,62,63,8,0,,,,,
2024-05-13T14:58:30+00:00,6,32,61,69,8,1,,,,,
2024-05-13T14:58:47+00:00,7,32,61,57,8,1,,,,,
2024-05-13T14:59:06+00:00,8,32,61,48,8,1,,,,,
2024-05-13T16:15:52+00:00,9,33,58,37,-4,-2,0,,,,
2024-05-13T16:16:16+00:00,10,33,58,17,-4,-2,0,,,,
2024-05-14T09:02:08+00:00,11,29,79,0,0,2,0,,,,
2024-05-14T09:02:30+00:00,12,30,76,0,0,2,0,,,,
2024-05-14T09:03:00+00:00,13,30,76,0,0,2,0,,,,
2024-05-14T09:03:24+00:00,14,30,76,0,0,2,0,,,,
2024-05-14T09:03:45+00:00,15,30,75,17,0,2,0,,,,
2024-05-14T09:04:16+00:00,16,30,75,0,0,0,0,,,,
2024-05-14T09:04:38+00:00,17,30,75,0,0,0,0,,,,
2024-05-14T09:04:58+00:00,18,30,75,0,0,0,0,,,,
2024-05-14T09:05:18+00:00,19,30,75,0,0,0,0,,,,
2024-05-14T09:05:39+00:00,20,30,75,0,0,0,0,,,,
2024-05-14T09:06:00+00:00,21,30,75,0,1,1,0,,,,
2024-05-14T09:06:20+00:00,22,30,75,0,1,1,0,,,,
2024-05-14T09:06:41+00:00,23,30,75,0,2,0,0,,,,
2024-05-14T09:07:03+00:00,24,30,75,0,2,0,0,,,,
2024-05-14T09:07:22+00:00,25,30,75,0,2,0,0,,,,
2024-05-14T09:07:43+00:00,26,30,75,0,2,0,0,,,,
2024-05-14T09:08:04+00:00,27,30,75,0,2,0,0,,,,
2024-05-14T09:08:24+00:00,28,30,75,0,2,0,0,,,,
2024-05-14T09:08:44+00:00,29,30,75,2,2,0,0,,,,
2024-05-14T09:09:04+00:00,30,30,75,0,2,0,0,,,,
2024-05-14T09:09:26+00:00,31,30,75,0,2,0,0,,,,
2024-05-14T09:09:46+00:00,32,30,75,0,2,0,0,,,,
2024-05-14T09:10:07+00:00,33,30,75,0,2,0,0,,,,
2024-05-14T09:10:28+00:00,34,30,75,0,2,0,0,,,,
2024-05-14T09:10:49+00:00,35,30,75,0,2,0,0,,,,
2024-05-14T09:11:09+00:00,36,30,75,0,2,0,0,,,,
2024-05-14T09:11:29+00:00,37,30,75,0,2,0,0,,,,
2024-05-14T09:11:50+00:00,38,30,75,0,2,0,0,,,,
2024-05-14T09:12:10+00:00,39,30,75,0,2,0,0,,,,
2024-05-14T09:12:30+00:00,40,30,75,0,2,0,0,,,,
2024-05-14T09:12:51+00:00,41,30,75,0,2,0,0,,,,
2024-05-14T09:13:12+00:00,42,30,75,0,2,0,0,,,,
2024-05-14T09:13:32+00:00,43,30,75,0,2,0,0,,,,
2024-05-14T09:13:53+00:00,44,30,75,0,2,0,0,,,,
2024-05-14T09:14:13+00:00,45,30,75,0,2,0,0,,,,
2024-05-14T09:14:34+00:00,46,30,75,0,2,0,0,,,,
2024-05-14T09:14:54+00:00,47,30,75,0,2,0,0,,,,
2024-05-14T09:15:14+00:00,48,30,75,0,2,0,0,,,,
2024-05-14T09:15:35+00:00,49,30,75,0,2,0,0,,,,
2024-05-14T09:15:57+00:00,50,30,75,0,2,0,0,,,,
2024-05-14T09:16:17+00:00,51,30,75,0,2,0,0,,,,
2024-05-14T09:16:37+00:00,52,30,75,0,2,0,0,,,,
2024-05-14T09:16:58+00:00,53,30,75,0,2,0,0,,,,
2024-05-14T09:17:19+00:00,54,30,75,0,2,0,0,,,,
2024-05-14T09:17:39+00:00,55,30,75,0,2,0,0,,,,
2024-05-14T09:18:00+00:00,56,30,75,0,2,0,0,,,,
2024-05-14T09:18:21+00:00,57,30,75,0,2,0,0,,,,
2024-05-14T09:18:42+00:00,58,30,75,0,2,0,0,,,,
2024-05-14T09:19:03+00:00,59,30,75,0,2,0,0,,,,
2024-05-14T09:19:23+00:00,60,30,75,0,2,0,0,,,,
2024-05-14T09:19:44+00:00,61,30,75,0,2,0,0,,,,
2024-05-14T09:20:05+00:00,62,30,75,0,2,0,0,,,,
2024-05-14T09:20:26+00:00,63,30,75,0,2,0,0,,,,
2024-05-14T09:20:46+00:00,64,30,75,0,2,0,0,,,,
2024-05-14T09:21:07+00:00,65,30,75,0,2,0,0,,,,
2024-05-14T09:21:33+00:00,66,30,75,0,2,0,0,,,,
2024-05-14T09:21:56+00:00,67,30,75,0,2,0,0,,,,
2024-05-14T10:20:05+00:00,68,31,75,0,0,0,0,,,,
2024-05-14T10:20:27+00:00,69,31,75,0,0,0,0,,,,
2024-05-14T10:20:50+00:00,70,31,75,0,0,0,0,,,,
2024-05-14T10:21:12+00:00,71,31,75,0,0,0,0,,,,
2024-05-14T10:21:32+00:00,72,31,75,0,0,0,0,,,,
2024-05-14T10:21:52+00:00,73,31,75,0,0,0,0,,,,
2024-05-14T10:22:13+00:00,74,31,75,0,0,0,0,,,,
2024-05-14T10:22:34+00:00,75,31,75,0,0,0,0,,,,
2024-05-14T10:22:55+00:00,76,31,75,0,0,0,0,,,,
2024-05-14T10:23:16+00:00,77,31,75,0,0,0,0,,,,
2024-05-14T10:23:36+00:00,78,31,75,0,0,0,0,,,,
2024-05-14T10:23:56+00:00,79,31,75,0,0,0,0,,,,
2024-05-14T10:24:18+00:00,80,31,75,0,0,0,0,,,,
2024-05-14T10:24:38+00:00,81,31,75,0,0,0,0,,,,
2024-05-14T10:25:02+00:00,82,31,74,0,0,0,0,,,,
2024-05-14T10:25:22+00:00,83,31,74,0,0,0,0,,,,
2024-05-14T10:25:43+00:00,84,31,74,0,0,0,0,,,,
2024-05-14T10:26:03+00:00,85,31,74,0,0,0,0,,,,
2024-05-14T10:26:24+00:00,86,31,74,0,0,0,0,,,,
2024-05-14T10:26:44+00:00,87,31,74,0,0,0,0,,,,
2024-05-14T10:27:04+00:00,88,31,74,0,0,0,0,,,,
2024-05-14T10:27:25+00:00,89,31,74,0,0,0,0,,,,
2024-05-14T10:27:45+00:00,90,31,74,0,0,0,0,,,,
2024-05-14T10:28:07+00:00,91,31,74,0,0,0,0,,,,
2024-05-14T10:28:28+00:00,92,31,74,0,0,0,0,,,,
2024-05-14T10:28:48+00:00,93,31,74,0,0,0,0,,,,
2024-05-14T10:29:10+00:00,94,31,74,0,0,0,0,,,,
2024-05-14T10:29:30+00:00,95,31,74,0,0,0,0,,,,
2024-05-14T10:29:50+00:00,96,31,74,0,0,0,0,,,,
2024-05-14T10:30:11+00:00,97,31,74,0,0,0,0,,,,
2024-05-14T10:30:31+00:00,98,31,74,0,0,0,0,,,,
2024-05-14T10:30:51+00:00,99,31,74,0,0,0,0,,,,
2024-05-14T10:31:13+00:00,100,31,74,0,0,0,0,,,,
2024-05-14T10:31:33+00:00,101,31,74,0,0,0,0,,,,
2024-05-14T10:31:53+00:00,102,31,74,0,0,0,0,,,,
2024-05-14T10:32:14+00:00,103,31,74,0,0,0,0,,,,
2024-05-14T10:32:35+00:00,104,31,74,0,0,0,0,,,,
2024-05-14T10:32:59+00:00,105,31,73,0,0,0,0,,,,
2024-05-14T13:35:56+00:00,106,29,70,0,2,0,0,,,,
2024-05-14T13:37:20+00:00,107,29,70,0,2,0,0,,,,
2024-05-14T13:37:40+00:00,108,29,70,0,2,0,0,,,,
2024-05-14T13:38:00+00:00,109,29,70,0,2,0,0,,,,
2024-05-14T13:38:43+00:00,110,29,70,0,2,0,0,,,,
2024-05-14T13:39:02+00:00,111,29,70,0,2,0,0,,,,
2024-05-14T13:39:21+00:00,112,29,70,0,2,0,0,,,,
2024-05-14T13:39:40+00:00,113,29,70,0,2,0,0,,,,
2024-05-14T13:39:59+00:00,114,29,70,0,2,0,0,,,,
2024-05-14T13:40:19+00:00,115,29,70,0,2,0,0,,,,
2024-05-14T13:40:37+00:00,116,29,70,0,2,0,0,,,,
2024-05-14T13:40:57+00:00,117,29,70,0,-2,1,0,,,,
2024-05-14T13:41:16+00:00,118,29,70,0,-2,8,0,,,,
2024-05-14T13:41:36+00:00,119,29,70,0,1,4,0,,,,
2024-05-14T13:42:12+00:00,120,29,69,0,1,4,0,,,,
2024-05-14T13:42:31+00:00,121,29,69,0,1,3,0,,,,
2024-05-14T13:42:50+00:00,122,29,69,0,-9,1,1.99577,,,,
2024-05-14T13:43:08+00:00,123,29,69,0,-9,2,0,,,,
2024-05-14T13:43:28+00:00,124,29,69,0,-9,2,0,,,,
2024-05-14T13:43:48+00:00,125,29,68,0,-9,2,0,,,,
2024-05-14T13:44:07+00:00,126,30,67,0,-9,2,0,,,,
2024-05-14T13:44:26+00:00,127,30,67,0,-9,1,0,,,,
2024-05-14T13:44:45+00:00,128,30,67,0,-9,2,0,,,,
2024-05-14T13:45:17+00:00,129,30,67,0,-9,2,0,,,,
2024-05-14T13:45:36+00:00,130,30,67,0,-9,2,0,,,,
2024-05-14T13:45:55+00:00,131,30,67,0,-9,2,0,,,,
2024-05-14T13:46:15+00:00,132,29,68,0,-9,2,0,,,,
2024-05-14T13:46:39+00:00,133,29,68,0,10,-2,0,,,,
2024-05-14T13:46:57+00:00,134,30,67,0,4,4,42.31765,,,,
2024-05-14T13:47:17+00:00,135,30,67,0,-4,-4,0,,,,
2024-05-14T13:47:35+00:00,136,30,67,0,-4,-1,0,,,,
2024-05-14T13:47:56+00:00,137,30,67,0,-4,-1,0,,,,
2024-05-14T13:48:17+00:00,138,30,67,0,-4,-1,0,,,,
2024-05-14T13:48:37+00:00,139,30,67,0,-4,-1,0,,,,
2024-05-14T13:49:00+00:00,140,30,66,0,2,10,0,,,,
2024-05-14T13:49:20+00:00,141,30,66,0,2,6,2.47243,,,,
2024-05-14T13:49:46+00:00,142,30,66,0,2,6,0,,,,
2024-05-14T13:50:09+00:00,143,30,66,0,2,6,0,,,,
2024-05-14T13:50:29+00:00,144,30,67,0,2,6,0,,,,
2024-05-14T13:50:49+00:00,145,30,67,0,2,6,0,,,,
2024-05-14T13:51:09+00:00,146,30,67,0,2,6,0,,,,
2024-05-14T13:51:28+00:00,147,30,67,0,-2,-3,0,,,,
2024-05-14T13:51:47+00:00,148,29,68,0,3,5,0,,,,
2024-05-14T13:52:18+00:00,149,29,68,0,3,6,0,,,,
2024-05-14T13:52:37+00:00,150,29,68,0,2,8,17.19347,,,,
2024-05-14T13:53:11+00:00,151,29,68,0,1,6,0,,,,
2024-05-14T13:53:30+00:00,152,29,68,0,2,6,0,,,,
2024-05-14T13:53:53+00:00,153,29,68,0,2,6,0,,,,
2024-05-14T13:54:37+00:00,154,29,68,0,2,6,0,,,,
2024-05-14T13:55:01+00:00,155,29,68,0,2,6,0,,,,
2024-05-14T13:55:32+00:00,156,29,68,0,2,6,0,,,,
2024-05-14T13:55:51+00:00,157,29,68,0,2,6,0,,,,
2024-05-14T13:56:12+00:00,158,29,68,0,2,6,0,,,,
2024-05-14T13:56:37+00:00,159,29,68,0,2,6,0,,,,
2024-05-14T13:57:00+00:00,160,29,68,0,2,6,0,,,,
2024-05-14T13:57:20+00:00,161,29,68,0,2,6,0,,,,
2024-05-14T13:58:39+00:00,162,29,68,0,2,6,0,,,,
2024-05-14T13:58:54+00:00,163,29,68,0,2,6,0,,,,
2024-05-14T13:59:10+00:00,164,29,68,53,2,6,0,,,,
2024-05-14T13:59:32+00:00,165,29,68,0,2,5,0,,,,
2024-05-14T13:59:51+00:00,166,29,68,0,2,5,0,,,,
2024-05-14T14:00:19+00:00,167,29,68,0,2,5,0,,,,
2024-05-14T14:00:34+00:00,168,29,68,0,2,5,0,,,,
2024-05-14T14:01:23+00:00,169,29,68,0,2,5,0,,,,
2024-05-14T14:01:49+00:00,170,29,68,0,2,5,0,,,,
2024-05-14T14:05:45+00:00,171,29,68,0,2,6,0,,,,
2024-05-14T14:06:09+00:00,172,29,68,0,2,6,0,,,,
2024-05-14T14:06:27+00:00,173,29,68,0,2,6,0,,,,
2024-05-14T14:07:39+00:00,174,29,68,0,2,6,0,,,,
2024-05-14T14:08:03+00:00,175,29,68,0,2,6,0,,,,
2024-05-14T14:08:26+00:00,176,29,68,0,2,6,0,,,,
2024-05-14T14:08:45+00:00,177,29,68,0,2,6,0,,,,
2024-05-14T14:09:04+00:00,178,29,68,0,2,5,0,,,,
2024-05-14T14:09:29+00:00,179,29,68,0,2,6,0,,,,
2024-05-14T14:09:51+00:00,180,29,68,0,2,6,0,,,,
2024-05-14T14:10:10+00:00,181,29,68,0,2,6,0,,,,
2024-05-14T14:10:48+00:00,182,29,68,0,1,9,4.14762,,,,
2024-05-14T14:14:23+00:00,183,29,68,0,1,-7,0,,,,
2024-05-14T14:15:03+00:00,184,29,69,0,1,-9,0,,,,
2024-05-14T14:15:22+00:00,185,29,69,0,4,6,0,,,,
2024-05-14T14:29:47+00:00,186,30,69,0,4,5,0,,,,
2024-05-14T14:30:02+00:00,187,29,71,0,4,4,4.26858,,,,
